Country Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Netherlands,62.81900024,63.22600174,62.42499924,61.88199997,59.70700073,60.40100098,61.86199951,62.92599869,62.5929985,61.60400009,61.32600021,61.21699905,60.2480011,59.61199951,59.95700073,60.23799896,60.91199875,61.81800079,62.59000015,62.08399963
New Zealand,62.2179985,62.9980011,63.15100098,64.21700287,65.09200287,65.54799652,65.86799622,65.42299652,63.74499893,63.19300079,63.47499847,62.90599823,63.8030014,64.95999908,65.05899811,66.36699677,67.5490036,67.83000183,67.65000153,67.02600098
Poland,46.4070015,44.59700012,44.04800034,44.0019989,45.15499878,46.52600098,48.55400085,50.36000061,50.43299866,49.98699951,50.20100021,50.23300171,50.1609993,51.19300079,51.94800186,52.75699997,53.68000031,54.17100143,54.35699844,54.31800079
Portugal,59.07699966,59.22900009,58.18999863,57.65100098,57.17100143,57.3219986,57.26699829,57.35599899,55.57400131,54.63600159,52.8370018,50.81700134,49.70500183,50.65000153,51.31000137,51.97999954,53.72999954,54.97800064,55.43199921,54.08000183
Slovenia,54.39400101,54.66999817,52.79199982,55.42599869,55.39300156,55.77199936,56.8219986,56.88999939,55.95700073,54.88600159,53.18799973,52.45299911,51.4679985,52.0929985,52.18399811,52.0719986,54.59700012,55.80500031,55.48600006,54.89899826
Spain,46.69900131,47.77500153,48.74300003,49.65599823,51.86600113,53.0530014,53.75899887,52.69100189,48.8730011,47.77099991,46.91400146,44.93799973,43.8730011,44.52799988,45.85200119,47.03300095,48.10300064,49.0870018,49.75299835,47.90299988
Thailand,71.26799774,71.74500275,71.85600281,72.28199768,72.68499756,72.05999756,72.71199799,72.53399658,72.05999756,71.14600372,72.79599762,72.57700348,70.09400177,69.42500305,68.82499695,67.77899933,66.94000244,67.27799988,66.47799683,66.28299713
Turkey,45.64500046,44.44400024,43.23600006,41.29000092,41.49000168,41.55099869,41.50099945,41.70500183,41.15399933,42.99900055,44.97100067,45.35599899,45.90000153,45.5019989,45.99300003,46.33599854,47.07799911,47.37099838,45.67699814,42.8370018
United Kingdom,58.6570015,58.67599869,58.90399933,59.04000092,59.31200027,59.33599854,59.23099899,59.23300171,57.8429985,57.49300003,57.31900024,57.55699921,57.90200043,58.84999847,59.42399979,59.9129982,60.18600082,60.55699921,60.85599899,59.99100113
United States,62.72399902,61.80199814,61.32899857,61.38000107,61.69800186,62.11199951,61.97100067,61.17100143,58.34700012,57.52199936,57.42499924,57.6590004,57.69900131,58.11600113,58.4640007,58.84799957,59.23699951,59.54899979,59.92300034,55.97900009
Brazil,57.59899902,58.39599991,57.95100021,59.1629982,59.44200134,59.70700073,59.63399887,60.12099838,59.52899933,59.26699829,58.40100098,57.99700165,57.9980011,58.00099945,56.99300003,54.86999893,54.36500168,54.57500076,55.14099884,49.43799973
Russian Federation,54.52099991,55.69599915,55.17499924,55.81399918,56.56399918,56.84199905,58.27999878,58.56200027,57.28499985,57.83800125,58.59000015,59.27999878,59.17300034,59.39799881,59.14199829,59.27999878,59.49000168,59.81100082,59.4109993,58.43000031
